<program, PALAVRA_RESERVADA>
<teste, IDENTIFICADOR>
<;, SIMBOLO_ESPECIAL>
<var, PALAVRA_RESERVADA>
<x, IDENTIFICADOR>
<,, SIMBOLO_ESPECIAL>
<y, IDENTIFICADOR>
<:, SIMBOLO_ESPECIAL>
<integer, PALAVRA_RESERVADA>
<;, SIMBOLO_ESPECIAL>
<const, PALAVRA_RESERVADA>
<pi, IDENTIFICADOR>
<:=, ATRIBUICAO>
<3.1416, NUMERO_REAL>
<;, SIMBOLO_ESPECIAL>
<*, OPERADOR_ARITMETICO>
</, OPERADOR_ARITMETICO>
<begin, PALAVRA_RESERVADA>
<read, IDENTIFICADOR>
<(, SIMBOLO_ESPECIAL>
<x, IDENTIFICADOR>
<), SIMBOLO_ESPECIAL>
<;, SIMBOLO_ESPECIAL>
<if, PALAVRA_RESERVADA>
<(, SIMBOLO_ESPECIAL>
<x, IDENTIFICADOR>
<>, OPERADOR_RELACIONAL>
<y, IDENTIFICADOR>
<), SIMBOLO_ESPECIAL>
<then, PALAVRA_RESERVADA>
<y, IDENTIFICADOR>
<:=, ATRIBUICAO>
<x, IDENTIFICADOR>
<;, SIMBOLO_ESPECIAL>
<else, PALAVRA_RESERVADA>
<y, IDENTIFICADOR>
<:=, ATRIBUICAO>
<-, OPERADOR_ARITMETICO>
<x, IDENTIFICADOR>
<;, SIMBOLO_ESPECIAL>
<writeln, IDENTIFICADOR>
<(, SIMBOLO_ESPECIAL>
<x, IDENTIFICADOR>
<), SIMBOLO_ESPECIAL>
<;, SIMBOLO_ESPECIAL>
<write, IDENTIFICADOR>
<(, SIMBOLO_ESPECIAL>
<y, IDENTIFICADOR>
<), SIMBOLO_ESPECIAL>
<;, SIMBOLO_ESPECIAL>
<end, PALAVRA_RESERVADA>
<., FIM>
